Date,Open,High,Low,Close,Volume,Adj Close
19-05-2014,82.05,82.2,81.6,82,21392300,81.7
16-05-2014,81.1,81.4,80.8,81.35,21714400,81.05
15-05-2014,79.8,80.6,79.75,80.55,12401500,80.25
14-05-2014,79.4,80.15,79.2,80.1,12839600,79.81
13-05-2014,79.4,79.45,78.7,79.15,9185600,78.86
12-05-2014,78.3,79.4,77.55,78.85,18185400,78.56
9-05-2014,77.85,78,77.25,77.9,7516000,77.61
8-05-2014,78.2,78.75,77.75,78.25,10339600,77.96
7-05-2014,79.15,79.2,78.3,78.4,20361700,78.11
6-05-2014,78.25,78.25,78.25,78.25,0,77.96
5-05-2014,78.95,79.4,78,78.25,11938100,77.96
2-05-2014,79.1,79.3,78.9,79.1,8886500,78.81
1-05-2014,78.65,78.65,78.65,78.65,0,78.36
